"Name","Resolucion","Fecha Resolucion","Registro"
"HERMANOS  DE  LA  INSTRUCCION  CRISTIANA  DE  PLöERMEL   (MENESIANOS)","3460","2021-11-15","282"
"Hermanos  Descalzos de la Orden de la BVM del Monte Carmelo (Provincia de la Santísima Trinidad)","2366","1996-08-16","10/1"
"Hermanos de la Instrucción Cristiana de Ploermel (Menesianos)","3460","2001-11-15","282"
"Hermanos de la Orden de la BVM del MC -Provincia de Santa Teresa y San Juan de la Cruz de Castilla - España (Orden del Carmen- Carmelitas)","1080","1998-04-02","159"
"Hermanos de la Sagrada Familia","248","1998-01-26","146"
"Hermanos de las Escuelas Cristianas- Hermanos de La Salle","2656","1996-09-23","36"
"Hermanos de Nuestra Señora de la Misericordia.","1709","2000-07-06","249"
"Hermanos del Sagrado Corazón","65","1999-04-08","200"
"Hermanos Descalzos de la Orden de la BVM del Monte Carmelo - Padres Descalzos (Pcia Sto Angel Custodio)","3298","1996-11-15","10"
"Hermanos Maristas de la Enseñanza o Hermanitos de María","1815","2003-12-18","308"
"Hermanos Maristas de la Enseñanza o Hermanitos de María (Provincia Córdoba)","41","2000-01-11","233"
"Hermanos Maristas de la Enseñanza o Hermanitos de María (Provincia Río de la Plata)","39","2000-01-11","233/1"
"Hijas  de  Nuestra Señora de la Misericordia -Savona  Provincia Cordoba","3143","2001-10-10","270"
"Hijas de Jesús","68","2000-01-11","231"
"Hijas de la Caridad de San Vicente de Paul (Hermanas Vicentinas - Hermanas de la Caridad)","2921","1996-10-16","44"
"Hijas de la Inmaculada Concepción de Buenos Aires","3315","2001-10-31","280"
"Hijas de la Inmaculada Concepción de la Caridad","365","1997-02-19","72"
"Hijas de la Misericordia de la Tercera Orden Regular de San Francisco","3579","2001-11-29","288"
"Hijas de la Sabiduría","145","1998-01-19","145"
"Hijas de la Virgen de los Dolores","3258","2000-11-02","252"
"Hijas de los Sagrados Corazones de Jesús y María (Instituto Ravasco)","2726","1996-09-23","39"
"Hijas de María Auxiliad - Inspec Ntra Sra del Sto Rosario","68","1999-04-08","189/1"
"Hijas de Maria Auxiliad - Inspec San Francisco Javier","67","1999-04-08","189/2"
"Hijas de María Auxiliadora - Inspectoría San Fco. de Sales","42","1998-09-18","189"
"HIJAS DE MARIA INMACULADA (MARIANISTAS)","N°105","2009-06-09","N°358"
"Hijas de María Santísima del Huerto (Hermanas del Huerto - Provincia de Córdoba)","773","1997-04-04","65/1"
"Hijas de Maria Santisima del Huerto (Hermanas del Huerto)","3722","1996-12-23","65"
"Hijas de Nuestra Señora de  la Misericordia - Savona","1872","2001-06-11","270"
"Hijas de San José de Genoni","115","2000-01-11","234"
"Hijas de Santa María de la Providencia","67","2000-01-11","232"
"Hijas del Corazón de María","2813","1997-09-18","116"
"Hijas del Oratorio","2516","1998-07-02","174"
"Hijas del Santísimo e Inmaculado Corazón de María o Filiación Cordimariana","193","1999-10-07","219"
"Hijos de la Sagrada Familia","1167","2002-07-04","294"
"Instituto  de la Santísima Trinidad (Religiosas Trinitarias de Valencia)","765","2001-03-22","265"
